0.000000000	Bass
0.400125000	Hihat
0.770000000	Snare
1.141250000	Hihat
1.496250000	Bass
1.862000000	Hihat
2.237500000	Snare
2.602000000	Hihat
2.953750000	Bass
3.675000000	Snare
4.044000000	Hihat
4.391875000	Bass
4.746000000	Hihat
5.125000000	Snare
5.490000000	Hihat
5.846250000	Bass
6.198000000	Hihat
6.576000000	Snare
6.930000000	Hihat
7.303000000	Bass
7.654000000	Hihat
8.033000000	Snare
8.400000000	Hihat
8.765000000	Bass
9.134000000	Hihat
9.516000000	Snare
9.884000000	Hihat
10.237000000	Bass
10.612000000	Hihat
10.983000000	Snare
11.324000000	Hihat
